lead_id,created_at,source,city,area,property_type,budget_pkr_lac,bedrooms,first_response_minutes,calls_made,total_call_seconds,whatsapp_replies,site_visits,agent_experience_years,is_overseas,referred_by_existing_client,has_financing_approved,token_amount_received_pkr,crm_record_hash,converted
MGC-104067,2025-09-30 19:35:11,Facebook Ads,Rawalpindi,Bahria Town,Farmhouse,801.0,1.0,12.0,2,72.0,4,1,4.7,0,0,1,0.0,8637176927,0
MGC-108870,2024-05-25 14:40:03,Instagram,Islamabad,Bahria Town,Commercial Shop,140.0,,97.0,1,57.0,0,1,2.0,0,0,0,0.0,5937285284,0
MGC-101529,2024-07-30 02:06:11,Facebook Ads,Faisalabad,DHA,Penthouse,325.0,1.0,38.0,0,0.0,2,0,0.2,1,0,1,0.0,9807118704,0
MGC-108073,2025-05-08 22:01:20,Google Search,Islamabad,B-17,Apartment,85.0,3.0,15.0,1,138.0,3,0,,1,0,1,0.0,6076182026,0
MGC-107878,2025-01-26 23:14:14,Instagram,Islamabad,Top City,Plot,117.0,,27.0,2,54.0,2,0,6.3,0,0,0,0.0,4881826037,0
MGC-103412,2024-02-13 15:54:08,Referral,Rawalpindi,Bahria Town,Villa,516.0,4.0,59.0,6,654.0,0,0,2.5,0,0,0,0.0,2683560604,0
MGC-103052,2024-12-24 15:45:57,Property Portal,Islamabad,B-17,Farmhouse,234.0,2.0,18.0,6,109.0,2,0,,0,0,0,0.0,4853598990,0
MGC-104822,2025-01-20 15:59:22,Referral,Peshawar,,Plot,62.0,,26.0,3,157.0,2,0,6.0,0,0,0,0.0,8743659306,0
MGC-102787,2025-03-06 19:35:52,Property Portal,Rwp,Top City,Plot,56.0,,58.0,3,81.0,0,0,5.8,0,0,0,0.0,3735116949,0
MGC-106556,2024-07-29 19:38:18,Facebook Ads,Islamabad,Bani Gala,Plot,173.0,,84.0,4,303.0,1,0,4.0,0,0,1,0.0,1959110164,0
MGC-101716,2024-11-02 14:29:01,Referral,Islamabad,Gulberg Greens,Plot,92.0,,44.0,4,147.0,2,0,5.0,0,0,0,0.0,2023113545,0
MGC-105281,2024-11-11 12:06:52,Google Search,Rawalpindi,DHA,Villa,153.0,5.0,,2,110.0,1,1,0.7,0,0,1,0.0,7129392221,0
MGC-101744,2024-11-20 17:27:52,Walk-in,Rawalpindi,Top City,Apartment,38.0,1.0,109.0,2,134.0,2,1,4.6,0,0,1,0.0,5471837633,0
MGC-104864,2024-07-06 15:15:52,Google Search,Rawalpindi,Gulberg Greens,Apartment,68.0,1.0,77.0,2,203.0,1,1,2.6,0,0,0,0.0,5816158096,0
MGC-101934,2025-07-18 11:06:15,Google Search,Rawalpindi,GT Road Corridor,Plot,102.0,,136.0,4,1015.0,0,3,3.7,0,0,0,0.0,6522699387,0
MGC-106632,2024-07-11 12:33:44,WhatsApp Campaign,Rawalpindi,Bahria Town,Commercial Shop,153.0,,23.0,3,313.0,2,0,3.0,1,0,0,0.0,7857652673,0
MGC-104183,2024-07-03 16:49:50,Property Portal,Islamabad,Blue World City,Plot,29.0,,22.0,1,76.0,3,0,2.2,1,0,0,0.0,4221845300,0
